Classifier,Cell_Type_1,Cell_Type_2,Correlation,P_value,Correlation_Variance,CV_Cell_Type_1,CV_Cell_Type_2,FDR_corrected_pvalue
Fast,Central Memory and Effector Memory CD8+ T cells,Plasmacytoid Dendritic cells,0.09999999999999988,0.013982835022630313,1.9453837822093293e-34,0.588977698000442,0.44866367643496735,0.01769979116788647
Fast,Central Memory and Effector Memory CD8+ T cells,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,0.4333333333333331,0.0,2.801352646381434e-32,0.588977698000442,0.9237500679855754,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Regulatory T cells,-0.2333333333333334,5.789496437813568e-09,7.003381615953586e-33,0.588977698000442,1.4451019580649032,8.952829543010673e-09
Fast,Central Memory and Effector Memory CD8+ T cells,TCRγδ T-cell,0.4166666666666666,0.0,0.0,0.588977698000442,0.875733529585747,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Terminal Effector CD4+ T cells,0.45000000000000023,0.0,4.980182482455883e-32,0.588977698000442,1.131099819448879,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Terminal Effector CD8+ T cells,0.5833333333333334,0.0,0.0,0.588977698000442,1.0528153739767316,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Th1/Th2-like T cells,0.7333333333333334,0.0,0.0,0.588977698000442,0.5070853226042543,0.0
Fast,Central Memory and Effector Memory CD8+ T cells,Transitional Monocytes,-0.2833333333333333,9.64783808399261e-13,0.0,0.588977698000442,0.3602018691989214,1.7648484299986484e-12
Fast,Central Memory and Effector Memory CD8+ T cells,Transitional/activated B cells,0.39330888211518994,0.0,2.801352646381434e-32,0.588977698000442,1.0969764604362944,0.0
Fast,Classical Monocytes,Eosinophils,0.5333333333333332,0.0,1.2450456206139707e-32,0.322539260876773,0.8533588143356079,0.0
Fast,Classical Monocytes,Innate Lymphoid Cell Precursors,-0.18333333333333332,5.570092312945363e-06,7.781535128837317e-34,0.322539260876773,2.1510088216297443,7.88220610322457e-06
Fast,Classical Monocytes,Low density Neutrophils,0.48333333333333334,0.0,3.112614051534927e-33,0.322539260876773,1.2153080008256492,0.0
Fast,Classical Monocytes,MAIT/NKT-like cells,0.26666666666666655,2.1749935186221592e-11,3.112614051534927e-33,0.322539260876773,0.8509500015214381,3.7499888252106194e-11
Fast,Classical Monocytes,Memory B cells,0.4613057882825993,0.0,1.2450456206139707e-32,0.322539260876773,4.936668335051579,0.0
Fast,Classical Monocytes,NK cell,-0.033333333333333305,0.4140431958714845,4.863459455523323e-35,0.322539260876773,0.5405390684327066,0.43736957310368085
Fast,Classical Monocytes,Naive B cells,-0.1999999999999999,6.837856474373183e-07,0.0,0.322539260876773,0.38561806122690506,9.958043409281335e-07
Fast,Classical Monocytes,Naive CD4+ T cells,0.13333333333333328,0.0010178368622439926,7.781535128837317e-34,0.322539260876773,0.5118875243840818,0.0013571158163253234
Fast,Classical Monocytes,Naive CD8+ T cells,0.0833333333333333,0.04075771521047389,0.0,0.322539260876773,0.7128846559749665,0.048909258252568664
Fast,Classical Monocytes,Neutrophils,-0.4166666666666666,0.0,0.0,0.322539260876773,0.0877853117203214,0.0
Fast,Classical Monocytes,Non-Classical Monocytes,0.8499999999999995,0.0,1.1205410585525737e-31,0.322539260876773,0.4851705394233283,0.0
Fast,Classical Monocytes,Plasmablast B cells,-0.26666666666666655,2.1749935186221592e-11,3.112614051534927e-33,0.322539260876773,1.2120869810854338,3.7499888252106194e-11
Fast,Classical Monocytes,Plasmacytoid Dendritic cells,0.2833333333333333,9.64783808399261e-13,0.0,0.322539260876773,0.44866367643496735,1.7648484299986484e-12
Fast,Classical Monocytes,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,-0.3,3.419486915845482e-14,0.0,0.322539260876773,0.9237500679855754,6.748987333905556e-14
Fast,Classical Monocytes,Regulatory T cells,0.2333333333333334,5.789496437813568e-09,7.003381615953586e-33,0.322539260876773,1.4451019580649032,8.952829543010673e-09
Fast,Classical Monocytes,TCRγδ T-cell,-0.2833333333333333,9.64783808399261e-13,0.0,0.322539260876773,0.875733529585747,1.7648484299986484e-12
Fast,Classical Monocytes,Terminal Effector CD4+ T cells,-0.3333333333333334,0.0,1.2450456206139707e-32,0.322539260876773,1.131099819448879,0.0
